f1,v1,f2,v2,f3,v3,f4,v4,a1,a2,a3
-17,0,-29,0,-9,0,-5,0,25,95,-28
-19,0,-30,0,-8,0,-5,0,25,95,-28
-20,0,-30,0,-9,0,-5,0,25,95,-28
-22,0,-30,0,-10,0,-5,0,25,95,-28
-22,0,-31,0,-10,0,-5,0,25,95,-28
-23,0,-33,0,-11,0,-5,0,26,95,-28
-25,0,-33,0,-11,0,-5,0,26,96,-28
-25,0,-33,0,-12,0,-5,0,26,96,-29
-25,0,-34,0,-12,0,-5,0,26,96,-29
-25,0,-34,0,-12,0,-5,0,26,96,-29
-25,0,-34,0,-12,0,-5,0,26,96,-29
-25,0,-34,0,-12,0,-5,0,26,96,-29
-25,0,-34,0,-12,0,-5,0,26,96,-29
-25,0,-31,0,-12,0,-5,0,26,97,-30
-24,0,-26,1,-12,0,-5,0,25,97,-30
-23,0,-18,3,-11,0,-5,0,25,97,-30
-22,0,-10,4,-9,0,-5,0,25,96,-29
-20,1,3,6,-7,1,-3,0,25,96,-29
-12,2,22,8,1,2,-1,0,25,96,-29
-6,3,33,8,5,2,2,1,24,97,-29
18,6,61,9,17,4,10,2,24,96,-29
18,6,61,9,17,4,10,2,24,96,-29
39,9,85,10,32,5,24,4,24,95,-29
52,9,95,9,40,5,30,5,24,96,-30
65,9,104,8,48,6,37,5,23,96,-31
79,10,112,7,56,6,46,5,23,96,-31
109,11,128,6,71,6,72,8,22,96,-33
109,11,128,6,71,6,72,8,22,96,-33
130,10,141,5,83,5,95,9,21,96,-33
138,8,146,5,87,4,110,10,20,97,-35
152,6,153,3,96,3,131,9,19,97,-36
156,5,156,3,101,3,142,9,19,96,-36
160,4,158,2,104,3,149,7,18,96,-37
163,3,160,2,109,3,156,7,18,96,-37
167,2,164,1,115,2,168,5,17,96,-37
168,1,166,1,117,2,173,4,16,97,-37
170,1,167,1,120,2,178,4,15,96,-37
170,1,168,1,122,2,182,3,16,95,-36
171,0,170,1,124,2,185,3,16,94,-35
172,0,170,0,126,1,187,2,16,93,-34
173,0,171,0,127,1,189,2,16,93,-34
173,0,171,0,128,1,190,1,16,93,-34
173,0,172,0,127,0,192,1,16,92,-34
173,0,172,0,129,0,193,1,16,92,-34
172,0,172,0,129,0,194,0,16,90,-34
172,0,172,0,130,0,194,0,16,90,-33
172,0,171,0,130,0,196,0,16,90,-34
171,0,172,0,130,0,196,0,16,91,-34
171,0,171,0,130,0,195,0,16,91,-35
171,0,171,0,129,0,194,0,15,92,-36
171,0,171,0,129,0,195,0,15,93,-36
171,0,171,0,130,0,196,0,15,93,-37
171,0,171,0,130,0,195,0,15,93,-37
171,0,171,0,130,0,195,0,15,93,-37
171,0,171,0,128,0,195,0,15,94,-38
170,0,170,0,129,0,194,0,14,96,-39
170,0,169,0,129,0,195,0,14,96,-39
170,0,169,0,129,0,195,0,14,96,-39
171,0,169,0,129,0,193,0,14,96,-38
170,0,169,0,128,0,194,0,14,95,-38
170,0,169,0,128,0,193,0,14,94,-37
170,0,168,0,127,0,193,0,14,94,-37
169,0,168,0,126,0,192,0,13,94,-36
169,0,168,0,126,0,192,0,13,94,-36
169,0,168,0,125,0,190,0,14,94,-35
168,0,168,0,124,0,190,0,15,93,-35
